7dd  = WiiLink WFC
2A01  = Verseny (n/x)
2A02  = Menü (n/x)
2A07  = Házigazda (2/2)
2A04  = Házigazda (1/2)
2A05  = Egyéni (n/x)
2A06  = Egyéni (n/x)
2A08  = Hozzáférhetőség 
2A20  = Módosítsd a beállításokat!
2A21  = Módosítsd a versenyek beállításait!
2A22  = Módosítsd a menü beállításait!
2A27  = Módosítsd a barátszobák beállításait!
2A24  = Módosítsd a barátszobák beállításait!
2A26  = Módosítsd az egyéni versenyek beállításait!
2A25  = Módosítsd az egyéni versenyek beállításait!
2A28  = Módosítsd a hozzáférhetőségi beállításokat!
37000  = Engedélyezve
37001  = Letiltva
30000  = Utolsó kör zenéje
30001  = Gyorsítás
30002  = Levágás nélkül
30003  = Alapértelmezett
40001  = Az utolsó kör kezdetekor a zene 4 mp alatt felgyorsul.
40002  = Az utolsó kör kezdetekor a zene folytatódik.
40003  = Az utolsó kör kezdetekor a zene szokás szerint a gyorsított verzióra vált.
30010  = Vontatható kék páncélok
40011  = A kék páncélok vontatása a többi páncélhoz hasonlóan lehetséges.
40012  = A kék páncélok vontatása a többi páncélhoz hasonlóan nem lehetséges.
30020  = Miifejek
40021  = A játékosok Miijének feje van megjelenítve a térképen.
40022  = A játékosok kiválasztott karaktere van megjelenítve a térképen.
30030  = Sebességmutató
30031  = Elrejtve
30032  = Tizedesjegyek nélkül
30033  = 1 tizedesjegy
30034  = 2 tizedesjegy
40031  = A sebességmutató el van rejtve.
40032  = A sebességmutató egész számot mutat.
40033  = A sebességmutató 1-tizedesjegyes pontossággal mutatja a sebességet.
40034  = A sebességmutató 2-tizedesjegyes pontossággal mutatja a sebességet.
30040  = Képkockasűrűség
30041  = Alapértelmezett
30042  = 30 képkocka/mp kényszerítése
30043  = 60 képkocka/mp kényszerítése
40041  = Alapértelmezett képkockasűrűség.
40042  = Ajánlott, ha a játék túlságosan akadozik.
40043  = Erősebb rendszereken ajánlott (csak Dolphinon).
30050  = Szellemek mentése
40051  = A szellemadatok el lesznek mentve.
40052  = A szellemadatok nem lesznek elmentve.
30110  = Gyors menük
40111  = Rögtönös menüáttűnések.
40112  = Szokásos sebességű menüáttűnések.
30100  = Nyelv
30120  = Pályák sorrendje
30121  = Alapértelmezett
30122  = Betűrendben
30300  = OpenHost
40301  = A Téged bejelölt játékosok mindig csatlakozhatnak.
40302  = Csak a barátlistádon szereplő játékosok csatlakozhatnak.
30310  = Csak a házigazda szavazata számít
40311  = A házigazda szavazata mindig nyer.
40312  = A pályák a szokásos sorsolás alapján lesznek kiválasztva.
30320  = Miifejek engedélyezése
40321  = A játékosok szabadon használhatnak Miifejeket.
40322  = A Miifejek használatának letiltása.
30330  = Fix sebesség
30331  = Nincs
30332  = 150cc
30333  = 200cc
30334  = Tükrözött (150cc)
30340  = Versenyek száma
30510  = Változatválasztás
40511  = A játékosok képesek egy pálya adott változatára szavazni.
40512  = A játékosok nem képesek egy pálya adott változatára szavazni.
30520  = Megafelhő
40521  = A viharfelhő mindig megnagyobbítja a játékosokat.
40522  = A viharfelhő szokás szerint lekicsinyíti a játékosokat.
30530  = Minden tárgy szétszóródhat
40531  = Bármelyik tárgytípus a földre szóródhat.
40532  = Csak bizonyos tárgytípusok szóródhatnak a földre.
30630  = Véletlenszerű járművek
30631  = Letiltva
30632  = Fejenként
30633  = Közös
40631  = Mindenki szokás szerint rakhatja össze a járművét.
40632  = Minden játékos külön-külön egy sajátos véletlenszerű járművet kap.
40633  = Minden játékos ugyanazt a véletlenszerű járművet kapja.
30700  = Egyszerűsített irányítás
30701  = Letiltva
30702  = Csak fel
30703  = Irányfüggő
40701  = A szokásos irányítás.
40702  = Az Y/ZL megnyomásával a játékos felfelé trükközik.
40703  = Az Y/ZL megnyomásával a játékos a bal kar irányába trükközik.
30710  = Látómező-effektusok
30720  = Kamerarázkódás
30730  = Ragyogás
30711  = Teljes
30712  = Csökkentett
30713  = Letiltva
2820  = Egyedüli verseny. Dönts rekordot! (200cc)
beb  = Egyedüli verseny. Dönts rekordot! (150cc)
2830  = Jármű megváltoztatása
2831  = Sajátos vagy véletlenszerű?
2840  = A változtatások érvénybeléptetéséhez újra kell indítanod a játékot.
284C  = Biztosan ki akarsz lépni?\n\nEgy folyamatban lévő verseny felmondásáért VR-bírság jár!
2841  = Dolphinos csalások futnak.\nLehetséges, hogy a játék váratlan viselkedést fog produkálni.
2842  = A Dolphin kiterjesztett memóriával fut.\nLehetséges, hogy a játék váratlan viselkedést fog produkálni.
30500  = Pályaválaszték
30501  = Mind
30502  = Csak retró
30503  = Csak egyéni
2806  = Az Aurora a Dolphin 5.0-17856-os vagy újabb verzióját igényli.\nTöltsd le a hivatalos oldalról!\n\nVisszatérés a Wii menübe...
2843  = Úgy tűnik, hogy a Dolphin alapértelmezett beállításait használod.\nAz Aurora összes funkciójának eléréséhez\nimportáld a Wiid NAND-ját!
2844  = Úgy tűnik, hogy egy nyilvános NAND-leképezést használsz.\nAz Aurora összes funkciójának eléréséhez\nimportáld a saját Wiid NAND-ját!
2845  = Ellenőrzés a kiszolgálóval...
2846  = A kiszolgáló nem elérhető.\n\nHibakód: \z{802,200000}\z{a02,1000000000}
2847  = A kiszolgáló nem elérhető.\n\nHibakód: \z{802,200000}\z{a02,1000000000}\nVisszatérés a Wii menübe...
2848  = Elérhető egy új frissítés! \z{802,200000}\nTöltsd le a legújabb verziót a Wiikiről!
2805  = Szeretnéd feltölteni a szellemedet\na ranglistára?
2849  = Szellem sikeresen feltöltve.
284A  = Hiba történt a feltöltés közben.\n\nHibakód: \z{802,200000}\z{a02,1000000000}
284B  = \z{a02,1000000000}\z{800,46}\naktív játékos
2802  = Idő érvénytelenítve. A különbség túl nagy.
30130  = Menü témája
30131  = Aurora
30132  = Szivárványos
30133  = Fehér
1E40  = {{null}}
2807  = Nagydíj
2808  = Online
2809  = Hamarosan!
848  = Haladás
2081A  = Jogosítvány-haladás
2081B  = Tekintsd meg a jogosítványod haladását!
20820  = Pontok
20822  = Kupák
20823  = Átl. rang
20824  = VR
20826  = Versenyek
20827  = Pontszám
